[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,417] INFO: Test_min_gradient_with_no_grad_enabled passed
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,457] INFO: Distributed backend initialized with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Process group destroyed and reset
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
[2025-02-22 23:31:24,486] INFO: Initializing distributed process group with gloo for rank 0
